"atomic_index","parent_queue_index","local_atom_index","proposed_id","source_file","line_number","domain_family","semantic_kind","semantic_context","duplicate_status","readiness","wolfram_status","atomic_equation","wolfram_form_hint","formation_method","formation_inputs","formation_note","source_tag","mint_status","minted_id","mint_batch"
"447","417","1","PHONE2_NEXT+0447","AntipodalEntanglementProtocol.txt","189","quantum_entanglement","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","InitialCondition → δ_{x_0},","InitialCondition -> delta_{x_0},","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 417; staged only.","PHONE2","unminted","",""
"448","418","1","PHONE2_NEXT+0448","AntipodalEntanglementProtocol.txt","228","quantum_entanglement","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","C^{p,q} = C^p(DAANSsphere","C^{p,q} = C^p(DAANSsphere","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 418; staged only.","PHONE2","unminted","",""
"449","419","1","PHONE2_NEXT+0449","AntipodalEntanglementProtocol.txt","231","quantum_entanglement","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","d_h: C^{p,q} → C^{p+1,q}, (* Horizontal: sphere cohomology *)","d_h: C^{p,q} -> C^{p+1,q}, (* Horizontal: sphere cohomology *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 419; staged only.","PHONE2","unminted","",""
"450","420","1","PHONE2_NEXT+0450","AntipodalEntanglementProtocol.txt","232","quantum_entanglement","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","d_v: C^{p,q} → C^{p,q+1}, (* Vertical: blob cohomology *)","d_v: C^{p,q} -> C^{p,q+1}, (* Vertical: blob cohomology *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 420; staged only.","PHONE2","unminted","",""
"451","421","1","PHONE2_NEXT+0451","AntipodalEntanglementProtocol.txt","236","quantum_entanglement","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","d_tot = d_h + (-1)^p d_v,","d_tot = d_h + (-1)^p d_v,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 421; staged only.","PHONE2","unminted","",""
"452","422","1","PHONE2_NEXT+0452","AntipodalEntanglementProtocol.txt","253","quantum_entanglement","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","F^p H^n = Im[H^n(⊕_{i≥p} C^{i,n-i}) → H^n(Tot(C))]","F^p H^n = Im[H^n(⊕_{i>=p} C^{i,n-i}) -> H^n(Tot(C))]","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 422; staged only.","PHONE2","unminted","",""
"453","423","1","PHONE2_NEXT+0453","AntipodalEntanglementProtocol.txt","262","quantum_entanglement","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Fiber → S_+^{76799} ×_{ℤ/2ℤ} S_-^{76799},","Fiber -> S_+^{76799} ×_{ℤ/2ℤ} S_-^{76799},","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 423; staged only.","PHONE2","unminted","",""
"454","424","1","PHONE2_NEXT+0454","AntipodalEntanglementProtocol.txt","263","quantum_entanglement","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","StructureGroup → Spin(153600) ⋊ ℤ/2ℤ","StructureGroup -> Spin(153600) ⋊ ℤ/2ℤ","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 424; staged only.","PHONE2","unminted","",""
"455","425","1","PHONE2_NEXT+0455","AntipodalEntanglementProtocol.txt","296","category_type_theory","Monad","(* Monad Laws Verification *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Cob_{d,d+1} = Category[","Cob_{d,d+1} = Category[","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 425; staged only.","PHONE2","minted","ID10910","PHONE2_BATCH1"
"456","426","1","PHONE2_NEXT+0456","AntipodalEntanglementProtocol.txt","302","quantum_entanglement","Functor","(* TQFT Functor *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","𝒵: Cob_{2,3} → Vect_ℂ,","𝒵: Cob_{2,3} -> Vect_ℂ,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 426; staged only.","PHONE2","unminted","",""
"457","427","1","PHONE2_NEXT+0457","AntipodalEntanglementProtocol.txt","305","quantum_entanglement","Functor","(* TQFT Functor *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","𝒵[M_1 ⊔ M_2] = 𝒵[M_1] ⊗ 𝒵[M_2], (* Monoidal *)","𝒵[M_1 ⊔ M_2] = 𝒵[M_1] ⊗ 𝒵[M_2], (* Monoidal *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 427; staged only.","PHONE2","unminted","",""
"458","428","1","PHONE2_NEXT+0458","AntipodalEntanglementProtocol.txt","306","quantum_entanglement","Functor","(* TQFT Functor *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","𝒵[W_1 ∪_M W_2] = 𝒵[W_2] ∘ 𝒵[W_1], (* Composition *)","𝒵[W_1 ∪_M W_2] = 𝒵[W_2] ∘ 𝒵[W_1], (* Composition *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 428; staged only.","PHONE2","unminted","",""
"459","429","1","PHONE2_NEXT+0459","AntipodalEntanglementProtocol.txt","307","quantum_entanglement","Functor","(* TQFT Functor *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","𝒵[M × [0,1]] = Id_{𝒵[M]}, (* Identity *)","𝒵[M × [0,1]] = Id_{𝒵[M]}, (* Identity *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 429; staged only.","PHONE2","unminted","",""
"460","430","1","PHONE2_NEXT+0460","AntipodalEntanglementProtocol.txt","321","quantum_entanglement","Invariant","(* Witten-Reshetikhin-Turaev Invariant *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","WRT[M^3, k] = Module[","WRT[M^3, k] = Module[","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 430; staged only.","PHONE2","unminted","",""
"461","431","1","PHONE2_NEXT+0461","AntipodalEntanglementProtocol.txt","325","quantum_entanglement","Invariant","(* Witten-Reshetikhin-Turaev Invariant *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","M^3 = S^3 \ N(L) ∪_φ (S^1 × D^2), (* Surgery *)","M^3 = S^3  N(L) ∪_phi (S^1 × D^2), (* Surgery *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 431; staged only.","PHONE2","unminted","",""
"462","432","1","PHONE2_NEXT+0462","AntipodalEntanglementProtocol.txt","328","quantum_entanglement","Invariant","(* Witten-Reshetikhin-Turaev Invariant *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","q = Exp[2πi/(k+2)],","q = Exp[2Pii/(k+2)],","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 432; staged only.","PHONE2","unminted","",""
"463","433","1","PHONE2_NEXT+0463","AntipodalEntanglementProtocol.txt","334","quantum_entanglement","Invariant","(* Witten-Reshetikhin-Turaev Invariant *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","q] = Tr_{V_1⊗","q] = Tr_{V_1⊗","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 433; staged only.","PHONE2","unminted","",""
"464","433","2","PHONE2_NEXT+0464","AntipodalEntanglementProtocol.txt","334","quantum_entanglement","Invariant","(* Witten-Reshetikhin-Turaev Invariant *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","⊗V_n}[","⊗V_n}[","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 433; staged only.","PHONE2","unminted","",""
"465","434","1","PHONE2_NEXT+0465","AntipodalEntanglementProtocol.txt","340","quantum_entanglement","Invariant","(* Witten-Reshetikhin-Turaev Invariant *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Z[M^3] = τ^{-σ(L)} Δ^{b_1(M)} J_L[ℂ^2,","Z[M^3] = τ^{-σ(L)} Δ^{b_1(M)} J_L[ℂ^2,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 434; staged only.","PHONE2","unminted","",""
"466","435","1","PHONE2_NEXT+0466","AntipodalEntanglementProtocol.txt","342","quantum_entanglement","Invariant","(* Witten-Reshetikhin-Turaev Invariant *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Δ = √((k+2)/2) sin[π/(k+2)],","Δ = √((k+2)/2) sin[Pi/(k+2)],","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 435; staged only.","PHONE2","unminted","",""
"467","436","1","PHONE2_NEXT+0467","AntipodalEntanglementProtocol.txt","372","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","point: Fin(153600) → EntangledSphere","point: Fin(153600) -> EntangledSphere","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 436; staged only.","PHONE2","unminted","",""
"468","437","1","PHONE2_NEXT+0468","AntipodalEntanglementProtocol.txt","377","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","meridian: ∏_{i:Fin(76800)} north =_{ES} point(i),","meridian: ∏_{i:Fin(76800)} north =_{ES} point(i),","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 437; staged only.","PHONE2","unminted","",""
"469","438","1","PHONE2_NEXT+0469","AntipodalEntanglementProtocol.txt","378","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","antipode: ∏_{i:Fin(76800)} point(i) =_{ES} point(153601-i),","antipode: ∏_{i:Fin(76800)} point(i) =_{ES} point(153601-i),","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 438; staged only.","PHONE2","unminted","",""
"470","439","1","PHONE2_NEXT+0470","AntipodalEntanglementProtocol.txt","398","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","π_1[EntangledSphere, base] = Module[","Pi_1[EntangledSphere, base] = Module[","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 439; staged only.","PHONE2","unminted","",""
"471","440","1","PHONE2_NEXT+0471","AntipodalEntanglementProtocol.txt","407","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Elements → ‖loops‖_0,","Elements -> ‖loops‖_0,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 440; staged only.","PHONE2","unminted","",""
"472","441","1","PHONE2_NEXT+0472","AntipodalEntanglementProtocol.txt","419","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","I = IntervalType[0,1],","I = IntervalType[0,1],","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 441; staged only.","PHONE2","unminted","",""
"473","442","1","PHONE2_NEXT+0473","AntipodalEntanglementProtocol.txt","425","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","KanFilling[n-cube with (n-1)-face missing] → n-cube,","KanFilling[n-cube with (n-1)-face missing] -> n-cube,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 442; staged only.","PHONE2","unminted","",""
"474","443","1","PHONE2_NEXT+0474","AntipodalEntanglementProtocol.txt","456","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","n = 153600, (* Sphere points *)","n = 153600, (* Sphere points *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 443; staged only.","PHONE2","unminted","",""
"475","444","1","PHONE2_NEXT+0475","AntipodalEntanglementProtocol.txt","462","quantum_entanglement","Axiom","(* Univalence Axiom *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","3SUM = ThreeSumConjecture,","3SUM = ThreeSumConjecture,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 444; staged only.","PHONE2","unminted","",""
"476","445","1","PHONE2_NEXT+0476","AntipodalEntanglementProtocol.txt","478","quantum_entanglement","SemanticNote","Proof → Module[{},","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Step1 → ""Generate Fibonacci points: O(n)"",","Step1 -> ""Generate Fibonacci points: O(n)"",","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 445; staged only.","PHONE2","unminted","",""
"477","446","1","PHONE2_NEXT+0477","AntipodalEntanglementProtocol.txt","479","quantum_entanglement","SemanticNote","Proof → Module[{},","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Step2 → ""Compute antipodes: O(n)"",","Step2 -> ""Compute antipodes: O(n)"",","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 446; staged only.","PHONE2","unminted","",""
"478","447","1","PHONE2_NEXT+0478","AntipodalEntanglementProtocol.txt","480","quantum_entanglement","SemanticNote","Proof → Module[{},","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Step3 → ""Build hash table: O(n)"",","Step3 -> ""Build hash table: O(n)"",","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 447; staged only.","PHONE2","unminted","",""
"479","448","1","PHONE2_NEXT+0479","AntipodalEntanglementProtocol.txt","481","quantum_entanglement","SemanticNote","Proof → Module[{},","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Step4 → ""Initialize bit vectors: O(n)""","Step4 -> ""Initialize bit vectors: O(n)""","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 448; staged only.","PHONE2","unminted","",""
"480","449","1","PHONE2_NEXT+0480","AntipodalEntanglementProtocol.txt","491","quantum_entanglement","SemanticNote","Proof → Module[{},","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","PointLocation → O(1), (* Hash table *)","PointLocation -> O(1), (* Hash table *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 449; staged only.","PHONE2","unminted","",""
"481","450","1","PHONE2_NEXT+0481","AntipodalEntanglementProtocol.txt","492","quantum_entanglement","SemanticNote","Proof → Module[{},","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","AntipodalLookup → O(1), (* Direct calculation *)","AntipodalLookup -> O(1), (* Direct calculation *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 450; staged only.","PHONE2","unminted","",""
"482","451","1","PHONE2_NEXT+0482","AntipodalEntanglementProtocol.txt","493","quantum_entanglement","SemanticNote","Proof → Module[{},","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","EntanglementCheck → O(1), (* XOR operation *)","EntanglementCheck -> O(1), (* XOR operation *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 451; staged only.","PHONE2","unminted","",""
"483","452","1","PHONE2_NEXT+0483","AntipodalEntanglementProtocol.txt","502","quantum_entanglement","SemanticNote","Proof → Module[{},","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Bob has y ∈ {0,1}^{76800},","Bob has y ∈ {0,1}^{76800},","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 452; staged only.","PHONE2","unminted","",""
"484","453","1","PHONE2_NEXT+0484","AntipodalEntanglementProtocol.txt","547","quantum_entanglement","SemanticNote","Proof → PebbleGameReduction[","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Step2 → ParallelReduce[","Step2 -> ParallelReduce[","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 453; staged only.","PHONE2","unminted","",""
"485","454","1","PHONE2_NEXT+0485","AntipodalEntanglementProtocol.txt","583","quantum_entanglement","SemanticNote","Proof → PebbleGameReduction[","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","""3SUM-Hard"" → Prove[","""3SUM-Hard"" -> Prove[","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 454; staged only.","PHONE2","unminted","",""
"486","455","1","PHONE2_NEXT+0486","AntipodalEntanglementProtocol.txt","584","quantum_entanglement","SemanticNote","Proof → PebbleGameReduction[","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","3SUM ≤_p FindTripleEntanglement","3SUM <=_p FindTripleEntanglement","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 455; staged only.","PHONE2","unminted","",""
"487","456","1","PHONE2_NEXT+0487","AntipodalEntanglementProtocol.txt","612","quantum_entanglement","Definition","Definition Sphere (n : nat) :=","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","{ x : Vector R (S n) | dot_product x x = 1 }","{ x : Vector R (S n) | dot_product x x = 1 }","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 456; staged only.","PHONE2","unminted","",""
"488","457","1","PHONE2_NEXT+0488","AntipodalEntanglementProtocol.txt","622","quantum_entanglement","Definition","Definition antipode {n : nat} (x : Sphere n) : Sphere n :=","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Inductive Entangled : Sphere 153599 -> Sphere 153599 -> Prop :=","Inductive Entangled : Sphere 153599 -> Sphere 153599 -> Prop :=","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 457; staged only.","PHONE2","unminted","",""
"489","458","1","PHONE2_NEXT+0489","AntipodalEntanglementProtocol.txt","625","quantum_entanglement","Definition","Definition antipode {n : nat} (x : Sphere n) : Sphere n :=","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","let y := sphere_point (153601 - i) in","let y := sphere_point (153601 - i) in","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 458; staged only.","PHONE2","unminted","",""
"490","459","1","PHONE2_NEXT+0490","AntipodalEntanglementProtocol.txt","656","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","computational_cost (find_entangled_partner x) <= O(1)","computational_cost (find_entangled_partner x) <= O(1)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 459; staged only.","PHONE2","unminted","",""
"491","460","1","PHONE2_NEXT+0491","AntipodalEntanglementProtocol.txt","676","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","VectorWidth = 512/8, (* 64 bytes *)","VectorWidth = 512/8, (* 64 bytes *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 460; staged only.","PHONE2","unminted","",""
"492","461","1","PHONE2_NEXT+0492","AntipodalEntanglementProtocol.txt","677","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","VectorRegisters = 32,","VectorRegisters = 32,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 461; staged only.","PHONE2","unminted","",""
"493","462","1","PHONE2_NEXT+0493","AntipodalEntanglementProtocol.txt","681","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","SpherePoints → AlignedArray[Float64, n, 64],","SpherePoints -> AlignedArray[Float64, n, 64],","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 462; staged only.","PHONE2","unminted","",""
"494","463","1","PHONE2_NEXT+0494","AntipodalEntanglementProtocol.txt","682","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","AntipodalIndices → AlignedArray[Int32, n, 64],","AntipodalIndices -> AlignedArray[Int32, n, 64],","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 463; staged only.","PHONE2","unminted","",""
"495","464","1","PHONE2_NEXT+0495","AntipodalEntanglementProtocol.txt","691","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","ymm0 = _mm512_load_pd[points]","ymm0 = _mm512_load_pd[points]","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 464; staged only.","PHONE2","unminted","",""
"496","465","1","PHONE2_NEXT+0496","AntipodalEntanglementProtocol.txt","692","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","ymm1 = _mm512_load_pd[points + 8]","ymm1 = _mm512_load_pd[points + 8]","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 465; staged only.","PHONE2","unminted","",""
"497","466","1","PHONE2_NEXT+0497","AntipodalEntanglementProtocol.txt","695","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","distances = _mm512_euclidean_pd[ymm0, ymm1]","distances = _mm512_euclidean_pd[ymm0, ymm1]","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 466; staged only.","PHONE2","unminted","",""
"498","467","1","PHONE2_NEXT+0498","AntipodalEntanglementProtocol.txt","698","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","mask = _mm512_cmp_pd_mask[distances, threshold, _CMP_LT_OQ]","mask = _mm512_cmp_pd_mask[distances, threshold, _CMP_LT_OQ]","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 467; staged only.","PHONE2","unminted","",""
"499","468","1","PHONE2_NEXT+0499","AntipodalEntanglementProtocol.txt","705","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","""OptimizationLevel"" → 3,","""OptimizationLevel"" -> 3,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 468; staged only.","PHONE2","unminted","",""
"500","469","1","PHONE2_NEXT+0500","AntipodalEntanglementProtocol.txt","707","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","""Unroll"" → 4","""Unroll"" -> 4","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 469; staged only.","PHONE2","unminted","",""
"501","470","1","PHONE2_NEXT+0501","AntipodalEntanglementProtocol.txt","714","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","ChunkSize → CacheLineSize * 16,","ChunkSize -> CacheLineSize * 16,","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 470; staged only.","PHONE2","unminted","",""
"502","471","1","PHONE2_NEXT+0502","AntipodalEntanglementProtocol.txt","722","quantum_entanglement","Lemma","Lemma query_complexity :","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","Throughput → n * 8 / ExecutionTime, (* Bytes/second *)","Throughput -> n * 8 / ExecutionTime, (* Bytes/second *)","Phone2 atomic equation extraction","AntipodalEntanglementProtocol.txt","Atomized from Phone2 parent queue row 471; staged only.","PHONE2","unminted","",""
"503","472","1","PHONE2_NEXT+0503","BBmaping.txt","13","geometry_topology","Functor","(* Hemispherical Decomposition Functor: ℬ → ℋ₋ ⊗ ℋ₊ *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","{antipodes = GroupBy[sphereMapping, Sign[#[[3]]] &]},","{antipodes = GroupBy[sphereMapping, Sign[#[[3]]] &]},","Phone2 atomic equation extraction","BBmaping.txt","Atomized from Phone2 parent queue row 472; staged only.","PHONE2","unminted","",""
"504","473","1","PHONE2_NEXT+0504","BBmaping.txt","15","general_math","Functor","(* Hemispherical Decomposition Functor: ℬ → ℋ₋ ⊗ ℋ₊ *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","""ServerNegative"" → Select[antipodes[-1], BitXor[#bit, 1] &],","""ServerNegative"" -> Select[antipodes[-1], BitXor[#bit, 1] &],","Phone2 atomic equation extraction","BBmaping.txt","Atomized from Phone2 parent queue row 473; staged only.","PHONE2","unminted","",""
"505","474","1","PHONE2_NEXT+0505","BBmaping.txt","16","general_math","Functor","(* Hemispherical Decomposition Functor: ℬ → ℋ₋ ⊗ ℋ₊ *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","""ClientPositive"" → Select[antipodes[1], #bit &],","""ClientPositive"" -> Select[antipodes[1], #bit &],","Phone2 atomic equation extraction","BBmaping.txt","Atomized from Phone2 parent queue row 474; staged only.","PHONE2","unminted","",""
"506","475","1","PHONE2_NEXT+0506","BBmaping.txt","28","quantum_entanglement","Functor","(* Hemispherical Decomposition Functor: ℬ → ℋ₋ ⊗ ℋ₊ *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","entangledState = BitXor[serverBit, 1]","entangledState = BitXor[serverBit, 1]","Phone2 atomic equation extraction","BBmaping.txt","Atomized from Phone2 parent queue row 475; staged only.","PHONE2","unminted","",""
"507","476","1","PHONE2_NEXT+0507","BBmaping.txt","40","general_math","Functor","(* Hemispherical Decomposition Functor: ℬ → ℋ₋ ⊗ ℋ₊ *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","antipodal = MapAt[BitXor[#, 1] &, measured, {All, ""bit""}]","antipodal = MapAt[BitXor[#, 1] &, measured, {All, ""bit""}]","Phone2 atomic equation extraction","BBmaping.txt","Atomized from Phone2 parent queue row 476; staged only.","PHONE2","unminted","",""
"508","477","1","PHONE2_NEXT+0508","BBmaping.txt","44","signal_wave","Functor","(* Hemispherical Decomposition Functor: ℬ → ℋ₋ ⊗ ℋ₊ *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","""WaveFunction"" → Exp[-I * π * measured[""axisID""]/76800]","""WaveFunction"" -> Exp[-I * Pi * measured[""axisID""]/76800]","Phone2 atomic equation extraction","BBmaping.txt","Atomized from Phone2 parent queue row 477; staged only.","PHONE2","unminted","",""
"509","478","1","PHONE2_NEXT+0509","BBmaping.txt","69","geometry_topology","Functor","(* Hemispherical Decomposition Functor: ℬ → ℋ₋ ⊗ ℋ₊ *)","new_or_nonexact","id_ready","file_has_parse_clean_wolfram","spherePoints1 = Map[","spherePoints1 = Map[","Phone2 atomic equation extraction","BBmaping.txt","Atomized from Phone2 parent queue row 478; staged only.","PHONE2","unminted","",""
