rank,isabelle_name,claim_type,registration_predicate,kind,score,title,source,line,digest
92,cand_092_theorem_lemma_quantumphasetransition_theorem_quantumpha,theorem_claim,registered_theorem,Theorem,101,lemma quantumphasetransition: theorem quantumphasetransition : Theorem quantumphasetransition :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4777,e403e627ec163ad003c5f2c409783df9f8e4215c
93,cand_093_theorem_lemma_quantumthermodynamics_sorry_theorem_quant,theorem_claim,registered_theorem,Theorem,101,lemma quantumthermodynamics: sorry theorem quantumthermodynamics : Theorem quantumthermodynamics :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6197,f08af0d96f71ab6ed3c730980a4b5c9f57b98b24
94,cand_094_theorem_lemma_renormalizationnavigation_theorem_renorma,theorem_claim,registered_theorem,Theorem,101,lemma renormalizationnavigation: theorem renormalizationnavigation : Theorem renormalizationnavigation :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4857,893af8239d78da3d2ab715cbc6a2b96e34f5f878
95,cand_095_law_id_026_conservation_law_information_flux_thro,law_claim,registered_law,Law,100,"ID\,026: Conservation Law: Information Flux Through TZP",D:\Tex\TEX_20260224_182530\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,604,95410f6791fc10e245bc46face949118f0972946
96,cand_096_theorem_lemma_fieldcoherencemetric_sorry_theorem_fieldc,theorem_claim,registered_theorem,Theorem,100,lemma fieldcoherencemetric: sorry theorem fieldcoherencemetric : Theorem fieldcoherencemetric :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,1116,eb6d90c8c8ed5fa76e823990b40c61c0c5aeb365
97,cand_097_invariant_the_trawin_coupling_invariant,invariant_claim,registered_invariant,Invariant,98,The Trawin Coupling Invariant.,D:\Tex\TuTsybolicGlossary.tex,56,f56b4be66d14e3ee4bbfa09eeecc4fbbdebfc304
98,cand_098_law_id_025_conservation_law_tzp_topological_charg,law_claim,registered_law,Law,98,"ID\,025: Conservation Law: TZP Topological Charge",D:\Tex\TEX_20260224_182530\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,595,2057ca637ed67fc35e0ec6cecdab4c8fd2a2f5b1
99,cand_099_principle_id_033_principle_of_least_action_tzp_variant,principle_claim,registered_principle,Principle,98,"ID\,033: Principle of Least Action (TZP Variant)",D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,667,786107fdc4f6d8ea56bf73631761389512ee22c6
100,cand_100_principle_id_033_principle_of_least_action_tzp_variant,principle_claim,registered_principle,Principle,98,"ID\,033: Principle of Least Action (TZP Variant)",D:\Tex\TEX_20260224_182530\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,667,a8a5b1662e49a81f4cc898a58055c5861588191e
101,cand_101_axiom_axiom_v_methylation_natural_transformation,axiom_claim,registered_axiom,Axiom,96,Axiom V (Methylation Natural Transformation).,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S02_Structural_Axioms_of_TZP_Dynamics_v1_0.tex,253,ceb9e88d29c9c7376e55a2367f2eb89312230102
102,cand_102_axiom_axiom_vi_zero_point_coupling,axiom_claim,registered_axiom,Axiom,96,Axiom VI: Zero-Point Coupling,D:\Tex\00_Engine_extractions\axiom.tex,196,9fec07abdca06b8d53735effe09b0c8face09db4
103,cand_103_axiom_id_113_helical_spacetime_embedding_axiom,axiom_claim,registered_axiom,Axiom,96,ID 113: Helical Spacetime Embedding Axiom,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,1466,9a0eb84cf40a4e2a129806209b83cfb98668281a
104,cand_104_definition_trawin_zero_point,definition_claim,registered_definition,Definition,96,Trawin Zero Point,D:\Tex\TRAWIN.tex,149,45a42682de5d8cbace7fd967cba5cff128995544
105,cand_105_theorem_lemma_0185_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,96,lemma 0185_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7514,475b781f0d4005203b63c84048bf6846817bdadb
106,cand_106_theorem_lemma_0187_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,96,lemma 0187_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7672,01f6586e95631e00fb6f1ef393f49c70a40991aa
107,cand_107_theorem_lemma_0189_proof_theorem_theorem,theorem_claim,registered_theorem,Theorem,96,lemma 0189_proof: theorem Theorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,7833,f2400f1b7092aa98395d7dda6db7ec3cda90b02e
108,cand_108_theorem_lemma_bayesianevidence_sorry_theorem_bayesianev,theorem_claim,registered_theorem,Theorem,96,lemma bayesianevidence: sorry theorem bayesianevidence : Prop := Theorem bayesianevidence : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3993,2419c1ff1e7b920d406bc572b9b532c552ccf237
109,cand_109_theorem_lemma_berryphase_sorry_theorem_berryphase_pro,theorem_claim,registered_theorem,Theorem,96,lemma berryphase: sorry theorem berryphase : Prop := by Theorem berryphase : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5683,0a590f4da11a4f7179818bb2c30973e2591db327
110,cand_110_theorem_lemma_casimirtypephenomena_sorry_theorem_casimi,theorem_claim,registered_theorem,Theorem,96,lemma casimirtypephenomena: sorry theorem casimirtypephenomena : Theorem casimirtypephenomena :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4703,a794431d45bd8c8ba21597ee18b616fc0e82f87b
111,cand_111_theorem_lemma_cptpmaps_sorry_theorem_cptpmaps_prop,theorem_claim,registered_theorem,Theorem,96,lemma cptpmaps: sorry theorem cptpmaps : Prop := by Theorem cptpmaps : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6120,b7003fd3b00fa62cefbc46ac26d11ebe08bf6dce
112,cand_112_theorem_lemma_falsifiabilityconstraint_theorem_falsifia,theorem_claim,registered_theorem,Theorem,96,lemma falsifiabilityconstraint: theorem falsifiabilityconstraint : Theorem falsifiabilityconstraint :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4066,60df0bf1c4b033e8b1cebdeb8f7a9565c2ad6bc2
113,cand_113_theorem_lemma_ordermagnitudeinvariance_theorem_ordermag,theorem_claim,registered_theorem,Theorem,96,lemma ordermagnitudeinvariance: theorem ordermagnitudeinvariance : Theorem ordermagnitudeinvariance :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3920,9c9c5d5e4ccd76063fedc1a911a5bfff748eb24a
114,cand_114_theorem_lemma_quantumcriticality_sorry_theorem_quantumc,theorem_claim,registered_theorem,Theorem,96,lemma quantumcriticality: sorry theorem quantumcriticality : Prop Theorem quantumcriticality : Prop.,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6433,3aa0cfc8d850eb60551a8e8b98b47851b6e5dea6
115,cand_115_theorem_lemma_quantumnoisespectra_sorry_theorem_quantum,theorem_claim,registered_theorem,Theorem,96,lemma quantumnoisespectra: sorry theorem quantumnoisespectra : Theorem quantumnoisespectra :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,5227,61f3d0c0d9875e35c83def91fb70f6c44d9f1cce
116,cand_116_theorem_lemma_vacuumfluctuationoperator_theorem_vacuumf,theorem_claim,registered_theorem,Theorem,96,lemma vacuumfluctuationoperator: theorem vacuumfluctuationoperator Theorem vacuumfluctuationoperator,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,3102,65ffaed8a0a89f4665c41159fcd5cc1497aff3e5
117,cand_117_theorem_lemma_zeropointcommutator_sorry_theorem_zeropoi,theorem_claim,registered_theorem,Theorem,96,lemma zeropointcommutator: sorry theorem zeropointcommutator : Theorem zeropointcommutator :,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,4300,801a87eea729702811908681d15ad2a508f9761f
118,cand_118_axiom_axiom_i_helical_spacetime_embedding,axiom_claim,registered_axiom,Axiom,93,Axiom I: Helical Spacetime Embedding,D:\Tex\00_Engine_extractions\axiom.tex,12,32de8d87f1d95235ffb8ce0a34f5ad4d340b6d9d
119,cand_119_definition_tzp_running_coupling,definition_claim,registered_definition,Definition,93,TZP Running Coupling,D:\Tex\trawin_zero_point_quantum_field_theory.tex,341,a1791a0b3b6348451f5c905f98730e19fe62f1e0
120,cand_120_theorem_theorem_1_wavelength_quantization,theorem_claim,registered_theorem,Theorem,93,Theorem 1: Wavelength Quantization,D:\Tex\TEX_20260224_182530\trawin_topology_unified_field_theory.tex,279,0176423a170f4d17eda1c85b3fa7c4dae6256e27
121,cand_121_postulate_foundational_postulates_gyromagnetic_genesis,postulate_claim,registered_postulate,Postulate,92,Foundational Postulates (Gyromagnetic Genesis),D:\Tex\TZP_OO_V1_S07_Derived_Hypotheses_from_the_Axiomatic_Structure_v1_0.tex,13,eaa8af9e77a2154d0f7fa06c475a9b35542d8e29
122,cand_122_theorem_topological_protection,theorem_claim,registered_theorem,Theorem,92,Topological Protection,D:\Tex\All_tex\00_Canon_01_TZP_Definition.tex,81,17e86e2d6cce89a050e773c2c68f2d67a3743107
123,cand_123_principle_id_037_emergent_rotation_principle,principle_claim,registered_principle,Principle,91,"ID\,037: Emergent Rotation Principle",D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,703,e07106c11a0495a608082df3f0333648057c4f50
124,cand_124_theorem_law_n_normalizedmegastructureformationtheorem,theorem_claim,registered_theorem,Theorem,91,law N:normalizedmegastructureformationtheorem,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,3356,04dad13919562ba0b89801b3db3d0972ffd71582
125,cand_125_definition_definition_of_the_trawin_zero_point,definition_claim,registered_definition,Definition,90,Definition of the Trawin Zero Point,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S01_Definition_of_the_Trawin_Zero_Point_v1_0.tex,6,db943e6c49284f2190083c6aa2844ad75fd9cd6f
126,cand_126_invariant_observable_field_metrics_and_invariants,invariant_claim,registered_invariant,Invariant,90,Observable Field Metrics and Invariants,D:\Tex\TEX_20260224_182530\TZP_OO_V1_S05_Observable_Field_Metrics_and_Invariants_v1_0.tex,6,f1a0c8ae3461cb9db64a26894c78a2672197c292
127,cand_127_definition_tzp_fixed_locus_trawin_form,definition_claim,registered_definition,Definition,88,TZP fixed locus (TRAWIN form),D:\Tex\00_Canon_00_TRAWIN_definition.tex,245,f38fc45452c304138b1f16ea94ded6bbd216a4a2
128,cand_128_invariant_id_042_magnetic_helicity_as_scaleinvariant_con,invariant_claim,registered_invariant,Invariant,88,"ID\,042: Magnetic Helicity as Scale‑Invariant Constraint",D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,748,f59e53ed7607bc192bb5746b8ab04f388bbb1fea
129,cand_129_theorem_tzp_vacuum_divergence,theorem_claim,registered_theorem,Theorem,88,TZP Vacuum Divergence,D:\Tex\topological_unification.tex,190,e7fc69badbee46992b7f1886e1e12b6c5476cf40
130,cand_130_proposition_non_linearity_as_curvature_response_type,proposition_claim,registered_proposition,Proposition,87,Non-Linearity as Curvature-Response Type,D:\Tex\gyromagnetic_validation.tex,639,aa9b57e66c2524e673a03c830a8bf970a261b4b2
131,cand_131_axiom_id_113_helical_spacetime_embedding_axiom,axiom_claim,registered_axiom,Axiom,86,ID 113: Helical Spacetime Embedding Axiom,D:\Tex\TEX_20260224_182530\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,1462,e6de1d1457086901040f833d60a7deba3d2293bb
132,cand_132_axiom_id_136_celestial_gyromagnetic_motion_axiom,axiom_claim,registered_axiom,Axiom,86,ID 136: Celestial Gyromagnetic Motion Axiom,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,1810,b9a0baa1867356eaa97804409b7bbbf6833c32e6
133,cand_133_axiom_id_136_celestial_gyromagnetic_motion_axiom,axiom_claim,registered_axiom,Axiom,86,ID 136: Celestial Gyromagnetic Motion Axiom,D:\Tex\TEX_20260224_182530\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,1788,d7dfa81d9e18729461facfdefa7ffd5bcc60adb3
134,cand_134_principle_id_244_pi_phi_coupling_principle,principle_claim,registered_principle,Principle,85,ID 244: pi--phi Coupling Principle,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,2894,db4bef86cde726761c561da2bc502d599c0da824
135,cand_135_principle_id_244_pi_phi_coupling_principle,principle_claim,registered_principle,Principle,85,ID 244: pi--phi Coupling Principle,D:\Tex\TEX_20260224_182530\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,2872,dbbe794453c3a3502e0489df468bb1e829567040
136,cand_136_invariant_id_011_causal_loop_invariant,invariant_claim,registered_invariant,Invariant,84,"ID\,011: Causal Loop Invariant",D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,465,23cdab690434268807f88d603d806761c8fe8552
137,cand_137_theorem_theorem_electron_conservation_with_tzp_coupling,theorem_claim,registered_theorem,Theorem,84,Theorem: Electron Conservation with TZP Coupling,D:\Zenodo\complete_tzpqvs_synthesis.pdf,497,7b97f10324c207f789906647381a64e3bc17652e
138,cand_138_definition_tzp_yang_mills_action,definition_claim,registered_definition,Definition,83,TZP Yang--Mills Action,D:\Tex\trawin_zero_point_quantum_field_theory.tex,364,e61a5884b044a9c3a3e7c940624bc5e7794dbc41
139,cand_139_definition_trawin_delta_distribution,definition_claim,registered_definition,Definition,83,Trawin Delta Distribution,D:\Tex\trawin_zero_point_quantum_field_theory.tex,142,708982bcf714057f929310c06c19131f802c508f
140,cand_140_definition_trawinistic_d_alembertian,definition_claim,registered_definition,Definition,83,Trawinistic d'Alembertian,D:\Tex\trawin_zero_point_quantum_field_theory.tex,66,900305008a92ecf424d23cf802a29b59853d6de4
141,cand_141_invariant_topological_invariants_connections,invariant_claim,registered_invariant,Invariant,83,Topological Invariants \& Connections,D:\Tex\TEX_20260224_182530\AnteOmniaCorpusInfinitum.tex,309,93b1df2a490bc4904036eab11fb7a0dcf3f5794f
142,cand_142_theorem_theorem_1_celestial_gyromagnetic_motion,theorem_claim,registered_theorem,Theorem,83,THEOREM 1: Celestial Gyromagnetic Motion,D:\Tex\gyromagnetic_validation.tex,447,b1b509dc87a073c271104941454d9ac0e2e0b222
143,cand_143_definition_information_synchronization_kernel,definition_claim,registered_definition,Definition,82,Information Synchronization Kernel,D:\Tex\All_tex\00_Canon_00_TRAWIN_definition.tex,72,a0644c901787289568aac2dd8467ee04dca5ca61
144,cand_144_invariant_id_234_helicity_topology_invariant,invariant_claim,registered_invariant,Invariant,82,ID 234: Helicity Topology Invariant,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,2794,5769e3116cc456fa0234492abe5ba883e1f42a92
145,cand_145_law_id_026_conservation_law_information_flux_thro,law_claim,registered_law,Law,82,"ID\,026: Conservation Law: Information Flux Through TZP",D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,604,33a6e0e8fa5bcf54f80dd354de448edafd928545
146,cand_146_theorem_theorem_5_quantum_flux_quantization,theorem_claim,registered_theorem,Theorem,82,Theorem 5: Quantum Flux Quantization,D:\Tex\TEX_20260224_182530\trawin_topology_unified_field_theory.tex,348,d919e2ae75a56fcb239ce87928be2e328b82a3e5
147,cand_147_definition_trawinistic_differential_operators,definition_claim,registered_definition,Definition,81,Trawinistic differential operators,D:\Tex\TRAWIN.tex,265,77de7987478a43875dd8610a15b176bd5bdbbe88
148,cand_148_hypothesis_id_085_gyromagnetic_genesis_hypothesis,hypothesis_claim,registered_hypothesis,Hypothesis,81,"ID\,085: Gyromagnetic Genesis Hypothesis",D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,1136,b9ded8289219ef9227b6d3d9dc204207d76a0714
149,cand_149_theorem_theorem_3_beat_frequency_mechanism,theorem_claim,registered_theorem,Theorem,81,Theorem 3: Beat Frequency Mechanism,D:\Tex\TEX_20260224_182530\trawin_topology_unified_field_theory.tex,322,8ce6fa53596ca4837346b0d58f55c59e0c827389
150,cand_150_law_id_025_conservation_law_tzp_topological_charg,law_claim,registered_law,Law,80,"ID\,025: Conservation Law: TZP Topological Charge",D:\Tex\opera_omnia_vol_0.tex,604,8a8335b1a65680c7a64ed4716b4d5238074453d4
151,cand_151_law_id_025_conservation_law_tzp_topological_charg,law_claim,registered_law,Law,80,"ID\,025: Conservation Law: TZP Topological Charge",D:\Tex\Registriy00.tex,598,fb42b4afade6c908bac8073e189f293302b92ec5
152,cand_152_postulate_postulate_i_pi_varphi_coupling_princ,postulate_claim,registered_postulate,Postulate,79,Postulate I (\(\pi\)--\(\varphi\) Coupling Principle),D:\Tex\00_Engine_extractions\axiom.tex,34,fad18ac07be0dad923391e3096f70faad14c0140
153,cand_153_principle_id_114_pi_phi_coupling_principle,principle_claim,registered_principle,Principle,79,ID 114: $\pi$--$\phi$ Coupling Principle,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,1480,701809657d331e0353d44451bd8fab42ad7d3a1c
154,cand_154_axiom_derived_hypotheses_from_the_axiomatic_structure,axiom_claim,registered_axiom,Axiom,78,Derived Hypotheses from the Axiomatic Structure,D:\Tex\TZP_OO_V1_S07_Derived_Hypotheses_from_the_Axiomatic_Structure_v1_0.tex,6,aece797387ec91b19cd0370e5a2f40c502c43580
155,cand_155_definition_trawin_manifold,definition_claim,registered_definition,Definition,78,Trawin Manifold,D:\Tex\All_tex\00_Canon_00_TRAWIN_definition.tex,8,47faa88c317bb2e298fb5db0f40d3cbadb6eb06e
156,cand_156_theorem_theorem_the_tzp_torus_consciousness_system_is_m,theorem_claim,registered_theorem,Theorem,78,Theorem: The TZP-Torus-Consciousness system is mathematically consistent and enables vacuum energy extraction.,D:\Tex\Delta function in the bell curve (3).txt,757,229f3ba19984873b3515065e6e7afc04a23da3d4
157,cand_157_definition_tzp_green_s_function,definition_claim,registered_definition,Definition,77,TZP Green's Function,D:\Tex\trawin_zero_point_quantum_field_theory.tex,125,f77bdcdca8b5e774c421ecb063b856490c598dd3
158,cand_158_definition_tzp_non_linearity_ratio,definition_claim,registered_definition,Definition,77,TZP Non-Linearity Ratio,D:\Tex\gyromagnetic_validation.tex,625,f2ef71f78e5906d780efb415c05b0578f5c21f45
159,cand_159_definition_tzp_renormalized_mass,definition_claim,registered_definition,Definition,77,TZP Renormalized Mass,D:\Tex\trawin_zero_point_quantum_field_theory.tex,335,99a82692dcfbef4121296cebf8f90113e11cdd56
160,cand_160_definition_tzp_self_energy,definition_claim,registered_definition,Definition,77,TZP Self-Energy,D:\Tex\trawin_zero_point_quantum_field_theory.tex,296,89b7bf9a2b496390b4471fb704d93cb7c76c8cb6
161,cand_161_definition_tzp_modified_dispersion,definition_claim,registered_definition,Definition,77,TZP-Modified Dispersion,D:\Tex\trawin_zero_point_quantum_field_theory.tex,226,79cd7da668cf1b5aefc04f18aaa7954911958299
162,cand_162_definition_definition,definition_claim,registered_definition,Definition,76,Definition,D:\Tex\TEX_20260224_182530\TZP_OO_Volume1_Canonical_Master.tex,211,113f2f034c68199400532f2345e95b319dfa9113
163,cand_163_definition_gyromagnetic_vimana_manifold,definition_claim,registered_definition,Definition,76,Gyromagnetic Vimana Manifold,D:\Tex\gyromagnetic_validation.tex,191,5b615e31aa0bd26a99e2ecd92144fb9c0f17c25a
164,cand_164_principle_id_033_principle_of_least_action_tzp_variant,principle_claim,registered_principle,Principle,76,"ID\,033: Principle of Least Action (TZP Variant)",D:\Tex\opera_omnia_vol_0.tex,676,4c1f8bb7a6454bc9e273e6e8082532f7f6a139d2
165,cand_165_principle_id_033_principle_of_least_action_tzp_variant,principle_claim,registered_principle,Principle,76,"ID\,033: Principle of Least Action (TZP Variant)",D:\Tex\opera_omnia_vol_00.tex,731,b44d875327ec2ee42f86fb40e097ad28d5b632f9
166,cand_166_principle_id_033_principle_of_least_action_tzp_variant,principle_claim,registered_principle,Principle,76,"ID\,033: Principle of Least Action (TZP Variant)",D:\Tex\Registriy00.tex,670,97ff0e0469a2b7b66ca644df19ac07dc0d9501f2
167,cand_167_theorem_the_borsuk_ulam_theorem,theorem_claim,registered_theorem,Theorem,76,The Borsuk--Ulam Theorem,D:\Tex\TEX_20260224_182530\paper.tex,124,668486c21609e71033091e76cee8c2009fa61023
168,cand_168_principle_principle_2_topological_constraint,principle_claim,registered_principle,Principle,75,Principle 2 (Topological Constraint).,D:\Tex\TEX_20260224_182530\trawin_topology_unified_field_theory.tex,101,78ccdcfb472f06a2c6301e9e188686eecdd78309
169,cand_169_axiom_axiom_iv_toroidal_fibrational_dna_geometry,axiom_claim,registered_axiom,Axiom,74,Axiom IV: Toroidal--Fibrational DNA Geometry,D:\Tex\00_Engine_extractions\axiom.tex,140,3bac42f0ce71dc6078f80e2bf988c66b87e49f95
170,cand_170_axiom_axiom_viii_metamaterial_encoding_state,axiom_claim,registered_axiom,Axiom,74,Axiom VIII: Metamaterial Encoding State,D:\Tex\00_Engine_extractions\axiom.tex,231,49f87a0779491d882b340878f80a6969ce651b77
171,cand_171_axiom_id_113_helical_spacetime_embedding_axiom,axiom_claim,registered_axiom,Axiom,74,ID 113: Helical Spacetime Embedding Axiom,D:\Tex\Registriy00.tex,1469,118ac41fb3f5d8536e6cd864394be13012447abe
172,cand_172_axiom_id_113_helical_spacetime_embedding_axiom,axiom_claim,registered_axiom,Axiom,74,ID 113: Helical Spacetime Embedding Axiom,D:\Tex\TEX_20260224_182530\minimal_output.tex,1143,90b142ca76eddb16c26e4eca250f7e9d3b61e11e
173,cand_173_definition_trawinistic_manifold_with_localized_degeneracy,definition_claim,registered_definition,Definition,74,Trawinistic manifold with localized degeneracy,D:\Tex\TRAWIN.tex,256,fcfab2f66769f953e37ad146ec4f8b047077c7e9
174,cand_174_law_id_025_conservation_law_tzp_topological_charg,law_claim,registered_law,Law,74,"ID\,025: Conservation Law: TZP Topological Charge",D:\Tex\TEX_20260224_182530\minimal_output.tex,272,4aceb27b527fd10bc16f88416063947c4f0f0575
175,cand_175_law_law,law_claim,registered_law,Law,74,Law,D:\Zenodo\Trawin_Zero_Point_100_Primary.pdf,6762,81b4a946fc25d915a2622d2d5485640a636b3874
176,cand_176_principle_principle_3_quantum_flux_quantization,principle_claim,registered_principle,Principle,74,Principle 3 (Quantum Flux Quantization).,D:\Tex\TEX_20260224_182530\trawin_topology_unified_field_theory.tex,111,84ac679cfeff25396203dc67f6abb2a67fa7b949
177,cand_177_axiom_topological_field_quantization,axiom_claim,registered_axiom,Axiom,73,Topological Field Quantization,D:\Tex\TEX_20260224_182530\document2.tex,30,2bb68733c5601923be23a497c9957fcdc29109f8
178,cand_178_definition_fundamental_definitions,definition_claim,registered_definition,Definition,73,Fundamental Definitions,D:\Tex\TEX_20260224_182530\AnteOmniaCorpusInfinitum.tex,301,85caf9419b7405e34d78c7c27ed3c1d6bf9ef8b7
179,cand_179_principle_uncertainty_principle,principle_claim,registered_principle,Principle,73,Uncertainty Principle.,D:\Tex\TEX_20260224_182530\trawin_topology_unified_field_theory.tex,247,7cec3e9962f22cc10e76a0bb43cbe949a0c773da
180,cand_180_axiom_id_228_hyperspherical_zeropoint_vacuum_axiom,axiom_claim,registered_axiom,Axiom,72,ID 228: Hyperspherical Zero‑Point Vacuum Axiom,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,2734,0f4eea452e7cb787c2ede04afb90ab79db3b6a4c
181,cand_181_axiom_id_228_hyperspherical_zeropoint_vacuum_axiom,axiom_claim,registered_axiom,Axiom,72,ID 228: Hyperspherical Zero‑Point Vacuum Axiom,D:\Tex\TEX_20260224_182530\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,2712,3a4f0055d4f8b6047ba2ffaa4f24d1577cd26c77
182,cand_182_invariant_observable_duality_and_topological_invariants,invariant_claim,registered_invariant,Invariant,71,Observable Duality and Topological Invariants,D:\Tex\All_tex\00_Canon_00_TRAWIN_definition.tex,112,854c369889e856539bc8309ec18156d6e46be434
183,cand_183_theorem_id_137_megastructure_formation_theorem,theorem_claim,registered_theorem,Theorem,71,ID 137: Megastructure Formation Theorem,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,1824,87ea9fe10cedd4bc54d243f947260ca216810d7c
184,cand_184_theorem_id_239_buckingham_pi_theorem_application,theorem_claim,registered_theorem,Theorem,71,ID 239: Buckingham $\Pi$‑Theorem Application,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,2844,001de0aec6efa09ab1c6c588d12c28daab8056af
185,cand_185_theorem_topological_field_constraint,theorem_claim,registered_theorem,Theorem,71,Topological Field Constraint,D:\Tex\topological_unification.tex,338,c6ace90abf514989d3f291be72530a6b974a192a
186,cand_186_principle_id_361_holographic_redundancy_principle,principle_claim,registered_principle,Principle,70,ID 361: Holographic Redundancy Principle,D:\Tex\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,3764,31b05617d3b688c3e6b3cc2259498619ebbdb441
187,cand_187_principle_id_361_holographic_redundancy_principle,principle_claim,registered_principle,Principle,70,ID 361: Holographic Redundancy Principle,D:\Tex\TEX_20260224_182530\Opera_Omia_Contextus_Canonicus_Trawin_Zero_Point.tex,3742,1def6355da0af5606a8425ae3c2dfcf15a790d01
188,cand_188_principle_id_033_principle_of_least_action_tzp_variant,principle_claim,registered_principle,Principle,70,"ID\,033: Principle of Least Action (TZP Variant)",D:\Tex\TEX_20260224_182530\minimal_output.tex,344,0d20c75761b9411e5e32b7413217c39dac9a7aa6
189,cand_189_proposition_localized_scattering_potential,proposition_claim,registered_proposition,Proposition,70,Localized Scattering Potential,D:\Tex\trawin_zero_point_quantum_field_theory.tex,271,5162dafe0cf7467abe04a8a2025ec5f761b7786a
190,cand_190_theorem_spectral_deformation_under_curvature_coupling,theorem_claim,registered_theorem,Theorem,70,Spectral Deformation Under Curvature Coupling,D:\Tex\quantized_harmonics_of_the_infinite_curve.tex,665,805681d0f0a292b2ca3c692631f77369da40a2cb
191,cand_191_theorem_theorem_1_celestial_gyromagnetic_motion,theorem_claim,registered_theorem,Theorem,70,Theorem 1: Celestial Gyromagnetic Motion,D:\Tex\gyromagnetic_validation.tex,432,da29b8caab85517873def77bf9870d63aba517e1
192,cand_192_axiom_id_113_helical_spacetime_embedding_axiom,axiom_claim,registered_axiom,Axiom,69,ID 113: Helical Spacetime Embedding Axiom,D:\Tex\TEX_20260224_182530\reassembled_run_1.tex,2829,5bab320fe2ba0cc6d7a76261b5b9cbaa68f934b8
193,cand_193_definition_definition_of_the_tzp_propagator,definition_claim,registered_definition,Definition,69,Definition of the TZP Propagator,D:\Tex\trawin_zero_point_quantum_field_theory.tex,123,bbef0111952998b5ec28263727cac119fff835ad
194,cand_194_law_law_i_the_same_rule_is_preserved_from_planck_to,law_claim,registered_law,Law,69,law I: the same rule is preserved from Planck to cosmic dis-,D:\Zenodo\Trawin_Zero_Point_200_Secondary.pdf,3183,58ab60d0dae3472f7ecad74eaea32926453e513d
195,cand_195_principle_id_037_emergent_rotation_principle,principle_claim,registered_principle,Principle,69,"ID\,037: Emergent Rotation Principle",D:\Tex\opera_omnia_vol_0.tex,712,2732d6517b08fa5ee48f9da994b88edc8872bb68
196,cand_196_principle_id_037_emergent_rotation_principle,principle_claim,registered_principle,Principle,69,"ID\,037: Emergent Rotation Principle",D:\Tex\Registriy00.tex,706,4534198a619b122f4231b6a1e2ad7832f364fca2
197,cand_197_proposition_generalized_helicity_invariant,proposition_claim,registered_proposition,Proposition,69,Generalized Helicity Invariant,D:\Tex\All_tex\unified_field_theory_paper.tex,212,193efe2cffd08aa715efb79a785af319b5122531
